Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
31503;Waycross;GA;31.205194;-82.37534;-5;1;31.205194,-82.37534
98849;Riverside;WA;48.528793;-119.45276;-8;1;48.528793,-119.45276
68784;Wakefield;NE;42.242742;-96.87191;-6;1;42.242742,-96.87191
99251;Spokane;WA;47.653568;-117.431742;-8;1;47.653568,-117.431742
06705;Waterbury;CT;41.54903;-72.99861;-5;1;41.54903,-72.99861
98247;Everson;WA;48.900256;-122.32095;-8;1;48.900256,-122.32095
98004;Bellevue;WA;47.618371;-122.20308;-8;1;47.618371,-122.20308
98125;Seattle;WA;47.716648;-122.30308;-8;1;47.716648,-122.30308
73573;Waurika;OK;34.16127;-97.99784;-6;1;34.16127,-97.99784
98274;Mount Vernon;WA;48.371026;-122.24432;-8;1;48.371026,-122.24432
20374;Washington;DC;38.855522;-77.002197;-5;1;38.855522,-77.002197
30477;Wadley;GA;32.872098;-82.4023;-5;1;32.872098,-82.4023
98103;Seattle;WA;47.671346;-122.34166;-8;1;47.671346,-122.34166
99140;Keller;WA;48.080515;-118.69498;-8;1;48.080515,-118.69498
98830;Mansfield;WA;47.880616;-119.54481;-8;1;47.880616,-119.54481
99167;Rice;WA;48.406582;-118.11029;-8;1;48.406582,-118.11029
99357;Royal City;WA;46.922079;-119.67175;-8;1;46.922079,-119.67175
20392;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
58854;Watford City;ND;47.835713;-103.22565;-6;1;47.835713,-103.22565
48088;Warren;MI;42.516851;-82.982757;-5;1;42.516851,-82.982757
20020;Washington;DC;38.863079;-76.97138;-5;1;38.863079,-76.97138
98547;Grayland;WA;46.781978;-124.08111;-8;1;46.781978,-124.08111
87752;Wagon Mound;NM;36.02239;-104.65018;-7;1;36.02239,-104.65018
98650;Trout Lake;WA;45.981582;-121.5395;-8;1;45.981582,-121.5395
98663;Vancouver;WA;45.647667;-122.66162;-8;1;45.647667,-122.66162
76798;Waco;TX;31.547466;-97.11997;-6;1;31.547466,-97.11997
76958;Water Valley;TX;31.663529;-100.71789;-6;1;31.663529,-100.71789
20337;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
20442;Washington;DC;38.895977;-77.017668;-5;1;38.895977,-77.017668
06386;Waterford;CT;41.464758;-72.127301;-5;1;41.464758,-72.127301
20552;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
06706;Waterbury;CT;41.537896;-73.02827;-5;1;41.537896,-73.02827
20580;Washington;DC;38.893311;-77.014647;-5;1;38.893311,-77.014647
98267;Marblemount;WA;48.499159;-121.43163;-8;1;48.499159,-121.43163
99022;Medical Lake;WA;47.583754;-117.68812;-8;1;47.583754,-117.68812
29692;Ware Shoals;SC;34.404535;-82.23851;-5;1;34.404535,-82.23851
20010;Washington;DC;38.933311;-77.02929;-5;1;38.933311,-77.02929
20602;Waldorf;MD;38.598185;-76.90381000000001;-5;1;38.598185,-76.90381
58075;Wahpeton;ND;46.28232;-96.68494;-6;1;46.28232,-96.68494
98312;Bremerton;WA;47.564437;-122.71293;-8;1;47.564437,-122.71293
98687;Vancouver;WA;45.801586;-122.520347;-8;1;45.801586,-122.520347
56294;Wanda;MN;44.317104;-95.21378;-6;1;44.317104,-95.21378
98356;Morton;WA;46.562676;-122.29514;-8;1;46.562676,-122.29514
02032;East Walpole;MA;42.153912;-71.21362;-5;1;42.153912,-71.21362
05676;Waterbury;VT;44.348486;-72.77081;-5;1;44.348486,-72.77081
76704;Waco;TX;31.571266;-97.12201;-6;1;31.571266,-97.12201
98063;Federal Way;WA;47.432251;-121.803388;-8;1;47.432251,-121.803388
98390;Sumner;WA;47.196364;-122.1887;-8;1;47.196364,-122.1887
57074;Ward;SD;44.156514;-96.46401;-6;1;44.156514,-96.46401
98281;Point Roberts;WA;48.99201;-123.05047;-8;1;48.99201,-123.05047
99105;Benge;WA;46.866805;-118.13247;-8;1;46.866805,-118.13247
